user_external_id,username,firstname,lastname,email,company_shortname,department_shortname,role_key,password
SCH_PRINCIPAL_001,gv.principal,Principal,Demo,gv.principal@example.local,GV_SCHOOL,GV_ADMIN,principal_registrar,
SCH_TRUSTEE_001,gv.trustee,Trustee,Demo,gv.trustee@example.local,GV_SCHOOL,GV_ADMIN,trustee_management,
SCH_IT_001,gv.it,IT,Coordinator,gv.it@example.local,GV_SCHOOL,GV_ADMIN,it_coordinator,
SCH_HOD_001,gv.hod,HOD,Department 1,gv.hod@example.local,GV_SCHOOL,GV_SCIENCE,hod_dean,
SCH_HOD_002,gv.hod02,HOD,Department 2,gv.hod02@example.local,GV_SCHOOL,GV_MATH,hod_dean,
SCH_HOD_003,gv.hod03,HOD,Department 3,gv.hod03@example.local,GV_SCHOOL,GV_LANG,hod_dean,
SCH_HOD_004,gv.hod04,HOD,Department 4,gv.hod04@example.local,GV_SCHOOL,GV_SOCIAL,hod_dean,
SCH_TEACHER_001,gv.teacher,Teacher,001,gv.teacher@example.local,GV_SCHOOL,GV_MATH,teacher_faculty,
SCH_TEACHER_002,gv.teacher002,Teacher,002,gv.teacher002@example.local,GV_SCHOOL,GV_LANG,teacher_faculty,
SCH_TEACHER_003,gv.teacher003,Teacher,003,gv.teacher003@example.local,GV_SCHOOL,GV_SCIENCE,teacher_faculty,
SCH_TEACHER_004,gv.teacher004,Teacher,004,gv.teacher004@example.local,GV_SCHOOL,GV_MATH,teacher_faculty,
SCH_TEACHER_005,gv.teacher005,Teacher,005,gv.teacher005@example.local,GV_SCHOOL,GV_LANG,teacher_faculty,
SCH_TEACHER_006,gv.teacher006,Teacher,006,gv.teacher006@example.local,GV_SCHOOL,GV_SCIENCE,teacher_faculty,
SCH_TEACHER_007,gv.teacher007,Teacher,007,gv.teacher007@example.local,GV_SCHOOL,GV_MATH,teacher_faculty,
SCH_TEACHER_008,gv.teacher008,Teacher,008,gv.teacher008@example.local,GV_SCHOOL,GV_LANG,teacher_faculty,
SCH_TEACHER_009,gv.teacher009,Teacher,009,gv.teacher009@example.local,GV_SCHOOL,GV_SCIENCE,teacher_faculty,
SCH_TEACHER_010,gv.teacher010,Teacher,010,gv.teacher010@example.local,GV_SCHOOL,GV_MATH,teacher_faculty,
SCH_TEACHER_011,gv.teacher011,Teacher,011,gv.teacher011@example.local,GV_SCHOOL,GV_LANG,teacher_faculty,
SCH_TEACHER_012,gv.teacher012,Teacher,012,gv.teacher012@example.local,GV_SCHOOL,GV_SCIENCE,teacher_faculty,
SCH_STUDENT_001,gv.student,Learner,001,gv.student@example.local,GV_SCHOOL,GV_PRIMARY,student_learner,
SCH_PARENT_001,gv.parent,Guardian,001,gv.parent@example.local,GV_SCHOOL,GV_SUPPORT,parent_guardian,
SCH_STUDENT_002,gv.student002,Learner,002,gv.student002@example.local,GV_SCHOOL,GV_PRIMARY,student_learner,
SCH_PARENT_002,gv.parent002,Guardian,002,gv.parent002@example.local,GV_SCHOOL,GV_SUPPORT,parent_guardian,
