user_external_id,username,firstname,lastname,email,company_shortname,department_shortname,role_key,password
UNI_REG_001,nbu.registrar,Registrar,Demo,nbu.registrar@example.local,NBU_ENGINEERING,NBU_REGISTRY,principal_registrar,
UNI_TRUSTEE_001,nbu.trustee,Trustee,Demo,nbu.trustee@example.local,NBU_ENGINEERING,NBU_REGISTRY,trustee_management,
UNI_IT_001,nbu.it,IT,Coordinator,nbu.it@example.local,NBU_ENGINEERING,NBU_IT,it_coordinator,
UNI_DEAN_001,nbu.dean,Dean,Faculty 1,nbu.dean@example.local,NBU_ENGINEERING,NBU_CSE,hod_dean,
UNI_DEAN_002,nbu.dean02,Dean,Faculty 2,nbu.dean02@example.local,NBU_ENGINEERING,NBU_ECE,hod_dean,
UNI_DEAN_003,nbu.dean03,Dean,Faculty 3,nbu.dean03@example.local,NBU_ENGINEERING,NBU_BUSINESS,hod_dean,
UNI_DEAN_004,nbu.dean04,Dean,Faculty 4,nbu.dean04@example.local,NBU_ENGINEERING,NBU_SCIENCE,hod_dean,
UNI_DEAN_005,nbu.dean05,Dean,Faculty 5,nbu.dean05@example.local,NBU_ENGINEERING,NBU_ARTS,hod_dean,
UNI_FAC_001,nbu.faculty,Faculty,001,nbu.faculty@example.local,NBU_ENGINEERING,NBU_CSE,teacher_faculty,
UNI_FAC_002,nbu.faculty002,Faculty,002,nbu.faculty002@example.local,NBU_ENGINEERING,NBU_ECE,teacher_faculty,
UNI_FAC_003,nbu.faculty003,Faculty,003,nbu.faculty003@example.local,NBU_ENGINEERING,NBU_BUSINESS,teacher_faculty,
UNI_FAC_004,nbu.faculty004,Faculty,004,nbu.faculty004@example.local,NBU_ENGINEERING,NBU_BUSINESS,teacher_faculty,
UNI_FAC_005,nbu.faculty005,Faculty,005,nbu.faculty005@example.local,NBU_ENGINEERING,NBU_SCIENCE,teacher_faculty,
UNI_FAC_006,nbu.faculty006,Faculty,006,nbu.faculty006@example.local,NBU_ENGINEERING,NBU_SCIENCE,teacher_faculty,
UNI_FAC_007,nbu.faculty007,Faculty,007,nbu.faculty007@example.local,NBU_ENGINEERING,NBU_ARTS,teacher_faculty,
UNI_FAC_008,nbu.faculty008,Faculty,008,nbu.faculty008@example.local,NBU_ENGINEERING,NBU_ARTS,teacher_faculty,
UNI_FAC_009,nbu.faculty009,Faculty,009,nbu.faculty009@example.local,NBU_ENGINEERING,NBU_CSE,teacher_faculty,
UNI_FAC_010,nbu.faculty010,Faculty,010,nbu.faculty010@example.local,NBU_ENGINEERING,NBU_ECE,teacher_faculty,
UNI_FAC_011,nbu.faculty011,Faculty,011,nbu.faculty011@example.local,NBU_ENGINEERING,NBU_BUSINESS,teacher_faculty,
UNI_FAC_012,nbu.faculty012,Faculty,012,nbu.faculty012@example.local,NBU_ENGINEERING,NBU_BUSINESS,teacher_faculty,
UNI_FAC_013,nbu.faculty013,Faculty,013,nbu.faculty013@example.local,NBU_ENGINEERING,NBU_SCIENCE,teacher_faculty,
UNI_FAC_014,nbu.faculty014,Faculty,014,nbu.faculty014@example.local,NBU_ENGINEERING,NBU_SCIENCE,teacher_faculty,
UNI_FAC_015,nbu.faculty015,Faculty,015,nbu.faculty015@example.local,NBU_ENGINEERING,NBU_ARTS,teacher_faculty,
UNI_FAC_016,nbu.faculty016,Faculty,016,nbu.faculty016@example.local,NBU_ENGINEERING,NBU_ARTS,teacher_faculty,
UNI_GUARDIAN_001,nbu.mentor001,Mentor,001,nbu.mentor001@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_002,nbu.mentor002,Mentor,002,nbu.mentor002@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_003,nbu.mentor003,Mentor,003,nbu.mentor003@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_004,nbu.mentor004,Mentor,004,nbu.mentor004@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_005,nbu.mentor005,Mentor,005,nbu.mentor005@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_006,nbu.mentor006,Mentor,006,nbu.mentor006@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_007,nbu.mentor007,Mentor,007,nbu.mentor007@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_008,nbu.mentor008,Mentor,008,nbu.mentor008@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_009,nbu.mentor009,Mentor,009,nbu.mentor009@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_010,nbu.mentor010,Mentor,010,nbu.mentor010@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_011,nbu.mentor011,Mentor,011,nbu.mentor011@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_012,nbu.mentor012,Mentor,012,nbu.mentor012@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_013,nbu.mentor013,Mentor,013,nbu.mentor013@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_014,nbu.mentor014,Mentor,014,nbu.mentor014@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_015,nbu.mentor015,Mentor,015,nbu.mentor015@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_016,nbu.mentor016,Mentor,016,nbu.mentor016@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_017,nbu.mentor017,Mentor,017,nbu.mentor017@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_018,nbu.mentor018,Mentor,018,nbu.mentor018@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_019,nbu.mentor019,Mentor,019,nbu.mentor019@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_020,nbu.mentor020,Mentor,020,nbu.mentor020@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_021,nbu.mentor021,Mentor,021,nbu.mentor021@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_022,nbu.mentor022,Mentor,022,nbu.mentor022@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_023,nbu.mentor023,Mentor,023,nbu.mentor023@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_024,nbu.mentor024,Mentor,024,nbu.mentor024@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_025,nbu.mentor025,Mentor,025,nbu.mentor025@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_026,nbu.mentor026,Mentor,026,nbu.mentor026@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_027,nbu.mentor027,Mentor,027,nbu.mentor027@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_028,nbu.mentor028,Mentor,028,nbu.mentor028@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_029,nbu.mentor029,Mentor,029,nbu.mentor029@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_030,nbu.mentor030,Mentor,030,nbu.mentor030@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_031,nbu.mentor031,Mentor,031,nbu.mentor031@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_032,nbu.mentor032,Mentor,032,nbu.mentor032@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_033,nbu.mentor033,Mentor,033,nbu.mentor033@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_034,nbu.mentor034,Mentor,034,nbu.mentor034@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_035,nbu.mentor035,Mentor,035,nbu.mentor035@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_036,nbu.mentor036,Mentor,036,nbu.mentor036@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_037,nbu.mentor037,Mentor,037,nbu.mentor037@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_038,nbu.mentor038,Mentor,038,nbu.mentor038@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_039,nbu.mentor039,Mentor,039,nbu.mentor039@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_040,nbu.mentor040,Mentor,040,nbu.mentor040@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_041,nbu.mentor041,Mentor,041,nbu.mentor041@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_042,nbu.mentor042,Mentor,042,nbu.mentor042@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_043,nbu.mentor043,Mentor,043,nbu.mentor043@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_044,nbu.mentor044,Mentor,044,nbu.mentor044@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_045,nbu.mentor045,Mentor,045,nbu.mentor045@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_046,nbu.mentor046,Mentor,046,nbu.mentor046@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_047,nbu.mentor047,Mentor,047,nbu.mentor047@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_048,nbu.mentor048,Mentor,048,nbu.mentor048@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_049,nbu.mentor049,Mentor,049,nbu.mentor049@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_GUARDIAN_050,nbu.mentor050,Mentor,050,nbu.mentor050@example.local,NBU_ENGINEERING,NBU_STUDENT,parent_guardian,
UNI_STU_001,nbu.student,Student,001,nbu.student@example.local,NBU_ENGINEERING,NBU_CSE,student_learner,
UNI_STU_002,nbu.student002,Student,002,nbu.student002@example.local,NBU_ENGINEERING,NBU_ECE,student_learner,
UNI_STU_003,nbu.student003,Student,003,nbu.student003@example.local,NBU_ENGINEERING,NBU_BUSINESS,student_learner,
UNI_STU_004,nbu.student004,Student,004,nbu.student004@example.local,NBU_ENGINEERING,NBU_SCIENCE,student_learner,
UNI_STU_005,nbu.student005,Student,005,nbu.student005@example.local,NBU_ENGINEERING,NBU_CSE,student_learner,
UNI_STU_006,nbu.student006,Student,006,nbu.student006@example.local,NBU_ENGINEERING,NBU_ECE,student_learner,
UNI_STU_007,nbu.student007,Student,007,nbu.student007@example.local,NBU_ENGINEERING,NBU_BUSINESS,student_learner,
UNI_STU_008,nbu.student008,Student,008,nbu.student008@example.local,NBU_ENGINEERING,NBU_SCIENCE,student_learner,
UNI_STU_009,nbu.student009,Student,009,nbu.student009@example.local,NBU_ENGINEERING,NBU_CSE,student_learner,
UNI_STU_010,nbu.student010,Student,010,nbu.student010@example.local,NBU_ENGINEERING,NBU_ECE,student_learner,
UNI_STU_011,nbu.student011,Student,011,nbu.student011@example.local,NBU_ENGINEERING,NBU_BUSINESS,student_learner,
UNI_STU_012,nbu.student012,Student,012,nbu.student012@example.local,NBU_ENGINEERING,NBU_SCIENCE,student_learner,
UNI_STU_013,nbu.student013,Student,013,nbu.student013@example.local,NBU_ENGINEERING,NBU_CSE,student_learner,
UNI_STU_014,nbu.student014,Student,014,nbu.student014@example.local,NBU_ENGINEERING,NBU_ECE,student_learner,
UNI_STU_015,nbu.student015,Student,015,nbu.student015@example.local,NBU_ENGINEERING,NBU_BUSINESS,student_learner,
UNI_STU_016,nbu.student016,Student,016,nbu.student016@example.local,NBU_ENGINEERING,NBU_SCIENCE,student_learner,
UNI_STU_017,nbu.student017,Student,017,nbu.student017@example.local,NBU_ENGINEERING,NBU_CSE,student_learner,
UNI_STU_018,nbu.student018,Student,018,nbu.student018@example.local,NBU_ENGINEERING,NBU_ECE,student_learner,
UNI_STU_019,nbu.student019,Student,019,nbu.student019@example.local,NBU_ENGINEERING,NBU_BUSINESS,student_learner,
UNI_STU_020,nbu.student020,Student,020,nbu.student020@example.local,NBU_ENGINEERING,NBU_SCIENCE,student_learner,
UNI_STU_021,nbu.student021,Student,021,nbu.student021@example.local,NBU_ENGINEERING,NBU_CSE,student_learner,
UNI_STU_022,nbu.student022,Student,022,nbu.student022@example.local,NBU_ENGINEERING,NBU_ECE,student_learner,
UNI_STU_023,nbu.student023,Student,023,nbu.student023@example.local,NBU_ENGINEERING,NBU_BUSINESS,student_learner,
UNI_STU_024,nbu.student024,Student,024,nbu.student024@example.local,NBU_ENGINEERING,NBU_SCIENCE,student_learner,
UNI_STU_025,nbu.student025,Student,025,nbu.student025@example.local,NBU_ENGINEERING,NBU_CSE,student_learner,
UNI_STU_026,nbu.student026,Student,026,nbu.student026@example.local,NBU_ENGINEERING,NBU_ECE,student_learner,
UNI_STU_027,nbu.student027,Student,027,nbu.student027@example.local,NBU_ENGINEERING,NBU_BUSINESS,student_learner,
UNI_STU_028,nbu.student028,Student,028,nbu.student028@example.local,NBU_ENGINEERING,NBU_SCIENCE,student_learner,
